quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(REG)Top-1,679_rmftsa_sleepdata,100,902976,5,0.11,0.07149053622215013,0.038509463777849876,0.010556900000665337
(REG)Top-1,679_rmftsa_sleepdata,100,223229,6,0.11,0.29530265111492954,0.18530265111492955,0.0075046999991172925
(REG)Top-1,679_rmftsa_sleepdata,100,333132,7,0.11,0.14019991885184363,0.03019991885184363,0.0074144000027445145
(REG)Top-1,679_rmftsa_sleepdata,100,847918,8,0.11,0.27214910959275973,0.16214910959275974,0.007218800001282943
(REG)Top-1,679_rmftsa_sleepdata,100,632113,9,0.11,0.21729286109609358,0.10729286109609358,0.007154800001444528
(REG)Top-1,679_rmftsa_sleepdata,100,960213,10,0.11,0.27803715143399216,0.16803715143399217,0.007416799999191426
(REG)Top-1,679_rmftsa_sleepdata,100,547320,1,0.16,0.1084505096939837,0.0515494903060163,0.0072056000026350375
(REG)Top-1,679_rmftsa_sleepdata,100,396374,2,0.16,0.2219845512376774,0.061984551237677404,0.007515299999795388
(REG)Top-1,679_rmftsa_sleepdata,100,488753,3,0.16,0.162336313585546,0.002336313585546007,0.0072003000022959895
(REG)Top-1,679_rmftsa_sleepdata,100,876968,4,0.16,0.27310068417433003,0.11310068417433003,0.007532999999966705
(REG)Top-1,679_rmftsa_sleepdata,100,984224,5,0.16,0.23387237888429419,0.07387237888429418,0.007155899998906534
(REG)Top-1,679_rmftsa_sleepdata,100,685964,6,0.16,0.2604356342062272,0.10043563420622717,0.007227699999930337
(REG)Top-1,679_rmftsa_sleepdata,100,822433,7,0.16,0.24555235771760542,0.08555235771760542,0.007507999998779269
(REG)Top-1,679_rmftsa_sleepdata,100,183664,8,0.16,0.40272417658289705,0.24272417658289705,0.0071572999986528885
(REG)Top-1,679_rmftsa_sleepdata,100,413611,9,0.16,0.33201633989265256,0.17201633989265255,0.0073338000001967885
(REG)Top-1,679_rmftsa_sleepdata,100,575505,10,0.16,0.024041011873617478,0.13595898812638252,0.007793600001605228
(REG)Top-1,679_rmftsa_sleepdata,100,47466,1,0.21,0.25389341602670507,0.04389341602670507,0.007208099999843398
(REG)Top-1,679_rmftsa_sleepdata,100,811151,2,0.21,0.27932825718923077,0.06932825718923077,0.007242200001201127
(REG)Top-1,679_rmftsa_sleepdata,100,930504,3,0.21,0.08870792433455504,0.12129207566544495,0.007182599998486694
(REG)Top-1,679_rmftsa_sleepdata,100,436213,4,0.21,0.27077242321340805,0.06077242321340806,0.007245700002386002
