quantifier,dataset,inv_abs_error,run_time
DyS,phpwRjVjk,0.91929012,0.04526882550002478
DyS,phpxijhaP,0.9924912899999999,0.04553322600015231
DyS,pol,0.9770088200000001,0.046666067000060096
DyS,pollen,0.68921195,0.04511387699996699
DyS,puma32H,0.8992182150000001,0.046086968999916225
DyS,puma8NH,0.9652929399999999,0.04609083999997888
DyS,quake,0.76876656,0.04455204400001089
DyS,space_ga,0.967791345,0.04513436150005869
DyS,spambase,0.97985365,0.04580030950010036
DyS,sylva_prior,0.9931533849999999,0.0458639859999857
DyS,visualizing_soil,0.99624955,0.04586019999987907
DyS,wind,0.97310975,0.0460060050000538
DyS,winetype,0.99590736,0.04582962900007256
HDy,1043_ada_agnostic,0.92015264,0.21347016449998588
HDy,1460_banana,0.939135375,0.2142104859999517
HDy,1462_banknote-authentication,0.9890766449999999,0.20870367300002268
HDy,1466_cardiotocography,0.999554455,0.21067124800000325
HDy,1475_first-order-theorem-proving,0.93682227,0.21610144750000015
HDy,1479_hill-valley,0.958715055,0.2081390115000249
HDy,1485_madelon,0.7991056000000001,0.21282772550002388
HDy,1489_phoneme,0.9419332199999999,0.21532773400004313
HDy,1494_qsar-biodeg,0.970229175,0.2062851340000179
HDy,1496_ringnorm,0.94534871,0.21659370650000706
HDy,1497_wall-robot-navigation,0.94585498,0.2164806070000213
HDy,1504_steel-plates-fault,0.9984158399999999,0.20952559749994631
HDy,1507_twonorm,0.9927669899999999,0.21511649050003595
HDy,1526_wall-robot-navigation,0.9470581149999999,0.2166130914999803
HDy,1535_volcanoes-b5,0.84621818,0.21556138299999017
HDy,1538_volcanoes-d1,0.87076498,0.2151665044999981
HDy,1539_volcanoes-d2,0.93424418,0.2138251584999943
HDy,1540_volcanoes-d3,0.8954302900000001,0.21388842049998855
HDy,1541_volcanoes-d4,0.87564284,0.21460944000002197
HDy,1566_hill-valley,0.88002225,0.2074205249999886
HDy,182_satimage,0.99101115,0.21604836600004088
HDy,23_cmc,0.8797131899999999,0.20992306650000042
HDy,28_optdigits,0.97160748,0.21150799200000162
HDy,294_satellite_image,0.98744029,0.21704294700000898
HDy,2dplanes,0.966092625,0.23165739750006648
HDy,30_page-blocks,0.9522909250000001,0.21686791350003656
HDy,312_scene,0.984833235,0.20655579650005162
HDy,375_JapaneseVowels,0.96917399,0.21422014900002065
HDy,40474_thyroid-allbp,0.948897815,0.20350911500003346
HDy,40475_thyroid-allhyper,0.948897815,0.20363407199994069
HDy,40733_yeast,0.91708377,0.2046452305000366
HDy,44_spambase,0.974092205,0.21975723450004803
HDy,4538_GesturePhaseSegmentationProcessed,0.8757570749999999,0.2154068984999685
HDy,60_waveform-5000,0.95714787,0.20660257200002885
HDy,679_rmftsa_sleepdata,0.914909195,0.2005302339999343
HDy,AedesQuinx,0.951491875,0.21527077649992857
HDy,AedesSex,0.98682189,0.21290862599997123
HDy,ArabicDigit,0.99368939,0.2076714080001511
HDy,BNG,0.98883803,0.23054517849986036
HDy,BNG_breast-w,0.98883803,0.234603907499968
HDy,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.7955889700000001,0.2167179959999157
HDy,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.7736926099999999,0.21818431849984332
HDy,HTRU,0.968251525,0.22453677150004292
HDy,MagicTelescope,0.9254495500000001,0.22732807550019057
HDy,abalone,0.95528586,0.20833399899993307
HDy,ailerons,0.97118514,0.2112521189999006
HDy,anuranCalls,0.979237985,0.2069020435000402
HDy,balloon,0.9513275950000001,0.20212495449995
HDy,bank8FM,0.986006935,0.20831623950006356
HDy,churn,0.9323840200000001,0.2197676234999835
HDy,clean2,0.9987652850000001,0.22549225450000446
HDy,click-prediction,0.892171185,0.24178639850007128
HDy,cmc,0.88055904,0.21669359650000838
HDy,covtype_reduced,0.940373275,0.22508738249988705
HDy,cpu_act,0.97406371,0.2248793285000192
HDy,default_credit_card_clients,0.8811645300000001,0.2327894010001
HDy,delta_ailerons,0.97826262,0.22043515649999787
HDy,eeg,0.890774155,0.22351703799997263
HDy,electricity-normalized,0.9392440449999999,0.2449108715000329
HDy,elevators,0.9696008899999999,0.2293241364999903
HDy,file22f0e4a679,0.992355775,0.21891363949995135
HDy,file79b563a1a18,0.95788482,0.22442420750010567
