,ACC,CC,DyS,HDy,MAX,MS,PACC,PCC,SMM,SORD,X
gina_agnostic,1.0132047384162541,0.9615531430242722,1.0200870255052243,1.0209667054369829,1.011952583799195,1.0162096195794799,0.9891879373960029,0.9301477832036392,1.0171717405130698,1.0165096554241648,1.011138001991473
houses,1.001334135304458,0.9916030017020725,1.0050909806972457,1.0051991124591388,1.0013294508960007,1.0030086161443124,1.0010483194684325,0.9848096279436588,1.0036123471676504,1.0036247385433559,0.9997011170561292
jm1-processed,1.0208647259870107,0.8447347788811186,1.0924548235262033,1.0330835924996637,1.081287952896364,1.0607293247414866,0.8073646823059436,0.9185148697699905,1.0814895270524791,1.0858433385065522,1.081287952896364
kdd_JapaneseVowels,1.0082309747601708,0.9689787496734782,1.0129587600107277,0.9936898638142274,1.010129054944501,1.0101322033933364,1.0098070950179914,0.9596206851657746,1.0096036533133204,1.0106786623919963,1.009394597439131
kin8nm,1.014561300964092,0.944283029089342,1.0317373242587158,1.0211280153190077,1.0207721973105444,1.02626068412899,0.978876534685371,0.9116323804434108,1.0250620937581558,1.0260577343131712,1.014561300964092
letter-recognition,0.9932196796402335,0.8298195776199847,1.1072192681052864,1.088170387726167,1.0868161443756807,1.039646837735562,0.7957295090818977,0.9084939183849539,1.0965048294471413,1.09988423207303,1.0868161443756807
magic,1.02617735379453,0.9186331239877324,1.0365727660745132,1.0045256683488208,1.025825825753129,1.0343616011655457,0.9664526220005432,0.9141932496938996,1.033708433456385,1.0346266301667633,1.025825825753129
mozilla,1.0244355408543737,0.9774980197442315,1.0296812070766426,1.0207137641313977,1.023515694748856,1.025264265787658,0.9385207082473357,0.9044692273650836,1.0245689546774688,1.0253657095320559,1.023515694748856
namao,1.004907111500154,0.980176686297584,1.011358668677088,1.0008650621754143,1.0046410031081683,1.009704148332334,0.999013126574539,0.9662276110006088,1.009418890869076,1.0096962000866778,1.0058646157972753
occupancy,1.0053358513536403,1.0054679947844851,1.0049367671763634,0.9951709831852803,1.004942241856838,1.0053974081267811,0.9819581812456019,0.9842455127625337,1.0037009971517221,1.0058809937746347,1.0036934972845681
page-blocks,0.9981505877837096,0.9358262251667725,1.0419093630202911,1.0159387780617337,1.0380663627666376,1.0010873053988119,1.008612452397648,0.9220742257547677,1.0048901171770852,1.009786654299242,1.0380663627666376
parity5_plus_5,1.0017219565802713,1.005149420623538,1.0144271074051745,0.9831176865482849,1.0284746182265754,1.0480379169453875,0.8702256018194298,1.0211654882217105,1.0018938538722932,1.0193302607412567,1.0284746182265754
pendigits,1.0019398889742088,1.0006447328204748,1.0063842119013962,0.9911548353783004,1.0043567307019305,1.0048556685742764,0.9959492974638054,0.9817501103778777,1.0038655792615065,1.0052718033048698,1.0043567307019305
phoneme,1.001785916235963,0.8867789090609441,1.0512771775989387,1.0329376662906953,1.0377292309851935,1.0295722901546043,0.9728158887142445,0.8955275922239597,1.0432718226238076,1.0474352870665595,1.0354890135919406
php50jXam,1.001559610256622,0.9975060715222979,1.0068363664105981,1.0014058541103465,1.0046709409032697,1.0035131679791207,0.983482024366328,0.9903221489625265,1.0014559647500887,1.003922321352615,1.0057922833923265
phpGUrE90,1.000213309906537,1.0010639295636332,1.0291404630125496,1.0352811150543186,0.977332011838641,1.0188704050009927,0.9965535435311054,0.9355886107125013,1.0172895667245512,1.0141217058487015,0.9819546936977597
phpMD2hR6,1.0150510126660461,0.9222085749023942,1.0585169464498798,1.0470323537190382,1.0501039529677412,1.0356744533526063,0.8597584152717266,0.9422367673103029,1.0407106523324976,1.0348064003476707,1.0355376363382127
phpV5QYya,1.0023269262833634,0.9821087337342073,1.0112565575397583,1.0102243417358752,1.0038303780532596,1.008122080644323,0.9953205267425236,0.9675145206686672,1.0089948127770705,1.008208067032674,1.0038303780532596
phpWfYmlu,1.0187391077262586,0.9547135388108907,1.0340702606061534,1.0233420848556611,1.0208654515935285,1.0269403447127299,0.9610827973480676,0.9115237169755946,1.0267923204178246,1.029673738726311,1.0076921901994889
phphQEck0,1.0152855494407784,0.9697494242885188,1.0315489898060388,1.0131187958909238,1.0294980848410613,1.023335417081594,0.9544970846279334,0.9112182771970392,1.0206008215792004,1.0241074364185212,1.0214590147940446
phplE7q6h,1.0124562664395047,0.9472491883260012,1.0836939589876708,1.0765212293299027,0.9895931696621775,1.0597126545273874,0.8168812335849853,0.9657749501906461,1.0614850199287367,1.0565012593781389,0.9907610431193111
phpmPOD5A,0.9565307480461941,0.9565307480461941,0.960735898675418,1.1056475545638516,1.003661364732968,0.9565307480461941,0.9934275021562591,0.9934275021562591,1.0193968904735637,1.0713064865449664,1.003661364732968
phpwRjVjk,0.8877756781588022,0.9298419745957464,1.1483125338268172,1.1826950941280772,1.0904095463755663,1.0443380423649526,0.8452040154353675,0.9902197855561553,0.9511584811268428,1.1086791829785507,0.9329539359025285
phpxijhaP,0.9999120889953765,0.995160120641898,1.003687204977783,1.00399379362544,1.0000743630193494,1.0026951899799037,0.998955408978561,0.9901789058259075,1.0025809059199848,1.0028452649561264,1.0000743630193494
pol,1.0134868993077606,0.9693350478301499,1.0193531735420343,1.0115806706647044,1.0157488888613975,1.0172340405771523,0.9849701796057768,0.9324832379252663,1.016654920886712,1.0173563491434576,1.008997021783327
pollen,1.0509665447064918,1.0509665447064918,0.9083272256565061,0.9701929023709832,0.9567840506307723,1.0070297256441572,1.0753072326005078,1.0753072326005078,0.9051465658271136,0.9684054860862867,1.0708840270572946
puma32H,1.0264041621290965,0.9646650059594617,1.023359777631946,1.0146390120049855,1.024006652105743,1.0166653161088441,0.9564574561897311,0.9183868561716311,1.0180033389266234,1.0239956023771373,1.0264041621290965
puma8NH,1.0194590253810563,0.9684183237433149,1.037106019741419,1.0294241662714902,1.0197574339625184,1.0215723051966485,0.9454072136689335,0.9097949377751927,1.021352904445435,1.0251889012896944,1.0187243185272148
quake,1.0095876194106168,0.9735777073319569,1.0367486128849015,1.0437060225433068,0.9608611320207056,0.9939701241293447,0.9292592253935481,1.0859380630589264,0.9949395298574816,0.9953576003561049,0.9923095457725217
space_ga,1.0118457748732494,0.9619729387649768,1.0225169258664129,1.0167818372469588,1.0126302040929054,1.0219455598734146,0.980722102553995,0.927728263364949,1.0218502297522956,1.0222457703035068,1.0088887143155278
spambase,1.0094525819096065,0.9806575669181706,1.0128735664740927,1.0063299771889027,1.0087354378833422,1.0118608138459577,0.9879643664476326,0.9512162506112251,1.0122573740205003,1.0122167537471514,1.0099989311167403
sylva_prior,1.006684283737628,1.0033300904556888,1.0084696487487212,0.9875018641403244,1.0086530760492523,1.0099205152233872,0.9823126333168828,0.9684766488101406,1.006930336039423,1.0106498381083666,1.008922432753585
visualizing_soil,1.0007105666570153,1.0013400071600418,1.0015024159559902,1.0003021841063207,1.0034629087099156,1.0000232730649565,0.9962025920432408,0.9939590088943625,0.9983288160686536,1.0007808859396239,1.0034629087099158
wind,1.0095123938881334,0.9622850120010608,1.0180511583591678,1.0163559565578402,1.008143533140078,1.0183082926127713,0.991806959873386,0.935986876216193,1.017962430956422,1.0185055495132629,1.0100964896261844
winetype,1.0005268707562647,1.0016575916042927,1.0016638194599674,1.0002885418921195,1.0005268707562647,1.0007039387594383,0.9981683054850314,0.9947026973854362,0.9994547171939743,1.0012098663032092,1.001134274737039
